CODMUNDV,NOMEMUN,X,Y
1703107,Barrolândia,-48.79167,-9.86898
1703206,Bernardo Sayão,-48.96907,-7.98325
1703305,Bom Jesus do Tocantins,-47.879220000000004,-9.01276
1703602,Brasilândia do Tocantins,-48.4428,-8.290339999999999
1703701,Brejinho de Nazaré,-48.62507,-11.02941
1703800,Buriti do Tocantins,-48.13841,-5.33754
1703826,Cachoeirinha,-47.8415,-6.09045
1703842,Campos Lindos,-46.80441,-8.203489999999999
1703867,Cariri do Tocantins,-49.2032,-11.93395
1703883,Carmolândia,-48.374990000000004,-7.045560000000001
1703891,Carrasco Bonito,-48.0107,-5.33637
1703909,Caseara,-49.84811,-9.40041
1704105,Centenário,-47.444990000000004,-9.07405
1705102,Chapada da Natividade,-47.84616,-11.541780000000001
1704600,Chapada de Areia,-49.19636,-10.16568
1705508,Colinas do Tocantins,-48.52986,-8.07618
1716703,Colméia,-48.764759999999995,-8.83677
1705557,Combinado,-46.503679999999996,-12.84653
1705607,Conceição do Tocantins,-47.30348,-12.16934
1706001,Couto Magalhães,-49.16254,-8.4369
1706100,Cristalândia,-49.313159999999996,-10.6371
1706258,Crixás do Tocantins,-49.07392,-11.17264
1706506,Darcinópolis,-47.76843,-6.762910000000001
1707009,Dianópolis,-46.80893,-11.70023
1707108,Divinópolis do Tocantins,-49.35483,-9.69485
1707207,Dois Irmãos do Tocantins,-49.0666,-9.271339999999999
1707306,Dueré,-49.39075,-11.428519999999999
1707405,Esperantina,-48.540890000000005,-5.3265199999999995
1707553,Fátima,-48.87454,-10.80947
1707652,Figueirópolis,-49.283120000000004,-12.26427
1707702,Filadélfia,-47.793859999999995,-7.49685
1708205,Formoso do Araguaia,-50.09811,-11.959
1708254,Fortaleza do Tabocão,-48.545429999999996,-9.07237
1708304,Goianorte,-49.00992,-8.87389
1709005,Goiatins,-47.481190000000005,-8.09377
1709302,Guaraí,-48.4415,-8.73887
1709500,Gurupi,-48.88664,-11.65206
1709807,Ipueiras,-48.4042,-11.13617
1710508,Itacajá,-47.66902,-8.57126
1710706,Itaguatins,-47.5966,-5.80376
1710904,Itapiratins,-48.03303,-8.31648
1711100,Itaporã do Tocantins,-48.752140000000004,-8.45146
1711506,Jaú do Tocantins,-48.645920000000004,-12.74816
1711803,Juarina,-49.11058,-8.140410000000001
1711902,Lagoa da Confusão,-50.16044,-11.03607
1711951,Lagoa do Tocantins,-47.4816,-10.34201
1712009,Lajeado,-48.290079999999996,-9.848519999999999
1712157,Lavandeira,-46.39484,-12.820310000000001
1712405,Lizarda,-46.93886,-9.525360000000001
1712454,Luzinópolis,-47.83045,-6.20636
